Features,Seed,Accuracy
['adosc'],4,33.75286041189931
['adosc'],5,33.75286041189931
['adosc'],6,33.75286041189931
['adosc'],7,33.75286041189931
['adosc'],8,33.75286041189931
['adosc'],9,33.75286041189931
['obv'],0,34.09610983981693
['obv'],1,34.09610983981693
['obv'],2,34.09610983981693
['obv'],3,34.09610983981693
['obv'],4,34.09610983981693
['obv'],5,34.09610983981693
['obv'],6,34.09610983981693
['obv'],7,34.09610983981693
['obv'],8,34.09610983981693
['obv'],9,34.09610983981693
['adx'],0,32.20823798627002
['adx'],1,32.09382151029748
['adx'],2,32.09382151029748
['adx'],3,32.09382151029748
['adx'],4,32.09382151029748
['adx'],5,32.20823798627002
['adx'],6,32.09382151029748
['adx'],7,32.09382151029748
['adx'],8,32.20823798627002
['adx'],9,32.09382151029748
['ht_trendline'],0,39.816933638443935
['ht_trendline'],1,39.98855835240275
['ht_trendline'],2,39.98855835240275
['ht_trendline'],3,39.98855835240275
['ht_trendline'],4,39.98855835240275
['ht_trendline'],5,39.816933638443935
['ht_trendline'],6,39.98855835240275
['ht_trendline'],7,39.98855835240275
['ht_trendline'],8,39.816933638443935
['ht_trendline'],9,39.98855835240275
['kama'],0,38.215102974828376
['kama'],1,38.7299771167048
['kama'],2,38.672768878718536
['kama'],3,38.215102974828376
['kama'],4,38.215102974828376
['kama'],5,38.215102974828376
['kama'],6,37.5858123569794
['kama'],7,38.672768878718536
['kama'],8,37.87185354691076
['kama'],9,37.5858123569794
['mama'],0,32.036613272311214
['mama'],1,32.036613272311214
['mama'],2,38.38672768878719
['mama'],3,38.38672768878719
['mama'],4,32.151029748283754
['mama'],5,32.036613272311214
['mama'],6,38.38672768878719
['mama'],7,32.036613272311214
['mama'],8,38.38672768878719
['mama'],9,38.38672768878719
['fama'],0,33.69565217391305
['fama'],1,33.69565217391305
['fama'],2,33.69565217391305
['fama'],3,33.69565217391305
